code_insee,nom_standard,dep_code,dep_nom,latitude_centre,longitude_centre,lat_nominatim,lon_nominatim,dist_nominatim_m,ok_nominatim,lat_photon,lon_photon,dist_photon_m,ok_photon,lat_arcgis,lon_arcgis,dist_arcgis_m,ok_arcgis,label_nominatim,label_photon,label_arcgis
01310,Prémeyzel,01,Ain,45.681,5.644,45.683084,5.6475915,362.68914781312117,True,45.683084,5.6475915,362.68914781312117,True,45.68389,5.64806,450.2719600473519,True,"Prémeyzel, Belley, Ain, Auvergne-Rhône-Alpes, France métropolitaine, 01300, France","Prémeyzel, 01300, Auvergne-Rhône-Alpes, France","Prémeyzel, Belley, Ain, Auvergne-Rhône-Alpes"
62309,Esquerdes,62,Pas-de-Calais,50.701,2.179,50.7055198,2.1829747,575.2713552428432,True,50.7055198,2.1829747,575.2713552428432,True,50.707703436,2.182689866,789.3824306929738,True,"Esquerdes, Saint-Omer, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62380, France","Esquerdes, 62380, Hauts-de-France, France","Esquerdes, Pas-de-Calais, Hauts-de-France"
21337,Lamarche-sur-Saône,21,Côte-d'Or,47.273,5.37,47.2681496,5.3860383,1324.8395070092877,True,47.2681496,5.3860383,1324.8395070092877,True,47.269759597,5.38499267,1187.1778249129975,True,"Lamarche-sur-Saône, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21760, France","Lamarche-sur-Saône, 21760, Bourgogne-Franche-Comté, France","Lamarche-sur-Saône, Côte-d'Or, Bourgogne-Franche-Comté"
89363,Sainte-Pallaye,89,Yonne,47.654,3.681,47.6493143,3.6708561,921.3072910013124,True,47.6493143,3.6708561,921.3072910013124,True,47.64972,3.67028,933.4173000069292,True,"Sainte-Pallaye, Auxerre, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89460, France","Sainte-Pallaye, 89460, Bourgogne-Franche-Comté, France","Sainte-Pallaye, Arrondissement d'Auxerre, Yonne, Bourgogne-Franche-Comté"
64518,Sendets,64,Pyrénées-Atlantiques,43.302,-0.266,43.2977999,-0.2609893,618.4971981442366,True,44.4249886,-0.0947584,125622.95240223514,True,43.297837881,-0.259996717,670.9733701967086,True,"Sendets, Pau, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64320, France","Sendets, 33690, Nouvelle-Aquitaine, France","Sendets, Pyrénées-Atlantiques, Nouvelle-Aquitaine"
51148,Cheppes-la-Prairie,51,Marne,48.818,4.442,48.83188,4.47267,2724.547074390963,True,48.83188,4.47267,2724.547074390963,True,48.83278,4.47306,2805.5320136237187,True,"Cheppes-la-Prairie, Châlons-en-Champagne, Marne, Grand Est, France métropolitaine, 51240, France","Cheppes-la-Prairie, 51240, Grand Est, France","Cheppes-la-Prairie, Châlons-en-Champagne, Marne, Grand Est"
08200,Grivy-Loisy,08,Ardennes,49.427,4.64,49.4168406,4.6290998,1377.5934574847163,True,49.4168406,4.6290998,1377.5934574847163,True,49.41639,4.63111,1343.6340637616972,True,"Grivy-Loisy, Vouziers, Ardennes, Grand Est, France métropolitaine, 08400, France","Grivy-Loisy, 08400, Grand Est, France","Grivy-Loisy, Vouziers, Ardennes, Grand Est"
17175,Germignac,17,Charente-Maritime,45.561,-0.341,45.5734627,-0.3381445,1403.5033717674223,True,45.5734627,-0.3381445,1403.5033717674223,True,45.57222,-0.33778,1272.5387172184894,True,"Germignac, Jonzac, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17520, France","Germignac, 17520, Nouvelle-Aquitaine, France","Germignac, Jonzac, Charente-Maritime, Nouvelle-Aquitaine"
77179,Féricy,77,Seine-et-Marne,48.465,2.804,48.4596035,2.8012128,634.2806362282217,True,48.4596035,2.8012128,634.2806362282217,True,48.46,2.80111,595.4126864205954,True,"Féricy, Melun, Seine-et-Marne, Île-de-France, France métropolitaine, 77133, France","Féricy, 77133, Île-de-France, France","Féricy, Melun, Seine-et-Marne, Île-de-France"
63414,Sauviat,63,Puy-de-Dôme,45.719,3.557,45.7153355,3.5336553,1857.638833837032,True,45.7153355,3.5336553,1857.638833837032,True,45.71528,3.53333,1883.6335239620564,True,"Sauviat, Thiers, Puy-de-Dôme, Auvergne-Rhône-Alpes, France métropolitaine, 63120, France","Sauviat, 63120, Auvergne-Rhône-Alpes, France","Sauviat, Thiers, Puy-de-Dôme, Auvergne-Rhône-Alpes"
10085,Charmoy,10,Aube,48.393,3.58,46.7565852,4.3343575,190554.49633985118,True,46.7565852,4.3343575,190554.49633985118,True,47.940341605,3.490304017,50770.98315409273,True,"Charmoy, Autun, Saône-et-Loire, Bourgogne-Franche-Comté, France métropolitaine, 71710, France","Charmoy, 71710, Bourgogne-Franche-Comté, France","Charmoy, Yonne, Bourgogne-Franche-Comté"
09220,Orlu,09,Ariège,42.658,1.937,42.7020333,1.8894592,6251.104159442121,True,48.3678849,1.9247339,634910.9495459067,True,42.70222,1.88861,6310.653509388285,True,"Orlu, Foix, Ariège, Occitanie, France métropolitaine, 09110, France","Orlu, 28700, Gommerville, Centre-Val de Loire, France","Orlu, Foix, Ariège, Occitanie"
39412,Peseux,39,Jura,46.994,5.366,46.9921,5.36708,226.59384889036764,True,46.9921,5.36708,226.59384889036764,True,47.31639,6.67972,105604.72854616088,True,"Peseux, Dole, Jura, Bourgogne-Franche-Comté, France métropolitaine, 39120, France","Peseux, 39120, Bourgogne-Franche-Comté, France","Péseux, Montbéliard, Doubs, Bourgogne-Franche-Comté"
04216,Thèze,04,Alpes-de-Haute-Provence,44.33,5.925,43.4776038,-0.3479295,511289.04561169946,True,43.4776038,-0.3479295,511289.04561169946,True,43.47639,-0.34889,511394.62841645494,True,"Thèze, Pau, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64450, France","Thèze, 64450, Nouvelle-Aquitaine, France","Thèze, Pau, Pyrénées-Atlantiques, Nouvelle-Aquitaine"
55476,Savonnières-devant-Bar,55,Meuse,48.749,5.176,48.7557314,5.1776668,758.4066903247575,True,48.7557314,5.1776668,758.4066903247575,True,48.75611,5.17722,795.6391076997938,True,"Savonnières-devant-Bar, Bar-le-Duc, Meuse, Grand Est, France métropolitaine, 55000, France","Savonnières-devant-Bar, 55000, Grand Est, France","Savonnières-devant-Bar, Bar-le-Duc, Meuse, Grand Est"
76650,Saint-Sauveur-d'Émalleville,76,Seine-Maritime,49.611,0.306,49.6143266,0.3034048,414.47414498995096,True,49.6143266,0.3034048,414.47414498995096,True,49.614399615,0.304240437,398.7114965182822,True,"Saint-Sauveur-d'Émalleville, Le Havre, Seine-Maritime, Normandie, France métropolitaine, 76110, France","Saint-Sauveur-d'Émalleville, 76110, Normandie, France","Saint-Sauveur-d'Émalleville, Seine-Maritime, Normandie"
2B148,Lucciana,2B,Haute-Corse,42.541,9.473,42.5459392,9.4175597,4575.0030393447805,True,42.5459392,9.4175597,4575.0030393447805,True,42.542700877,9.442917575,2471.797166511128,True,"Lucciana, Bastia, Haute-Corse, Corse, France métropolitaine, 20290, France","Lucciana, 20290, Corse, France","Lucciana, Haute-Corse, Corse"
22338,Squiffiec,22,Côtes-d'Armor,48.638,-3.167,48.6287628,-3.152401,1485.2408031554373,True,48.6287628,-3.152401,1485.2408031554373,True,48.62722,-3.15417,1525.051386629956,True,"Squiffiec, Guingamp, Côtes-d'Armor, Bretagne, France métropolitaine, 22200, France","Squiffiec, 22200, Bretagne, France","Squiffiec, Guingamp, Côtes-d'Armor, Bretagne"
70200,Dampvalley-Saint-Pancras,70,Haute-Saône,47.913,6.201,47.9098,6.19684,471.95604981585404,True,47.9098,6.19684,471.95604981585404,True,47.90917,6.19722,510.6303419480794,True,"Dampvalley-Saint-Pancras, Lure, Haute-Saône, Bourgogne-Franche-Comté, France métropolitaine, 70210, France","Dampvalley-Saint-Pancras, 70210, Bourgogne-Franche-Comté, France","Dampvalley-Saint-Pancras, Lure, Haute-Saône, Bourgogne-Franche-Comté"
40094,Escource,40,Landes,44.166,-1.041,44.1643011,-1.0335674,622.2234534290951,True,44.1643011,-1.0335674,622.2234534290951,True,44.16444,-1.03306,656.6509398309516,True,"Escource, Mont-de-Marsan, Landes, Nouvelle-Aquitaine, France métropolitaine, 40210, France","Escource, 40210, Nouvelle-Aquitaine, France","Escource, Mont-de-Marsan, Landes, Nouvelle-Aquitaine"
51353,Marsangis,51,Marne,48.611,3.852,48.60507,3.83552,1379.4565883282048,True,48.60507,3.83552,1379.4565883282048,True,48.60556,3.83611,1315.585064507677,True,"Marsangis, Épernay, Marne, Grand Est, France métropolitaine, 51260, France","Marsangis, 51260, Grand Est, France","Marsangis, Arrondissement d'Épernay, Marne, Grand Est"
